image_filename,text_description,button_texts
image_0056.png,How many blue shapes are there?,6| |0| |2| |5| |3
image_0057.png,How many large items are there?,2| |1| |3| |4| |5
image_0058.png,How many large blue items are there?,5| |6| |8| |2| |7
image_0059.png,How many large items are there?,6| |0| |1| |4| |5
image_0060.png,How many large aqua letters are there?,8| |6| |2| |1| |4
image_0061.png,How many aqua items are there?,3| |1| |2| |7| |8
image_0062.png,How many large items are there?,9| |3| |0| |2| |4
image_0063.png,How many small Ns are there?,7| |9| |8| |3| |1
image_0064.png,How many black items are there?,7| |5| |2| |1| |4
image_0065.png,How many large yellow items are there?,7| |8| |1| |0| |6
image_0066.png,How many small Ps are there?,2| |0| |5| |3| |1
image_0067.png,How many large magenta items are there?,6| |0| |5| |2| |8
image_0068.png,How many small aqua Gs are there?,0| |1| |2| |8| |5
image_0069.png,How many green items are there?,2| |8| |7| |9| |3
image_0070.png,How many large black items are there?,2| |1| |0| |7| |4
image_0071.png,How many large blue letters are there?,1| |2| |9| |5| |3
image_0072.png,How many small green ls are there?,7| |1| |8| |0| |3
image_0073.png,How many yellow digits are there?,5| |0| |7| |2| |1
image_0074.png,How many small items are there?,8| |0| |4| |7| |2
image_0075.png,How many aqua items are there?,7| |3| |1| |8| |2
image_0076.png,How many black items are there?,5| |4| |8| |3| |9
image_0077.png,How many large green ys are there?,0| |9| |3| |4| |8
image_0078.png,How many large magenta items are there?,1| |3| |6| |0| |9
image_0079.png,How many circles are there?,1| |5| |3| |9| |7
image_0080.png,How many aqua letters are there?,9| |5| |6| |4| |0
image_0081.png,How many shapes are there?,0| |9| |5| |6| |8
image_0082.png,How many digits are there?,7| |1| |9| |6| |2
image_0083.png,How many 9s are there?,7| |0| |6| |1| |4
image_0084.png,How many digits are there?,3| |7| |8| |2| |1
image_0085.png,How many red items are there?,9| |2| |7| |4| |1
image_0086.png,How many shapes are there?,6| |3| |0| |8| |7
image_0087.png,How many red 6s are there?,4| |1| |9| |7| |6
image_0088.png,How many 1s are there?,8| |0| |4| |9| |3
image_0089.png,How many large black shapes are there?,9| |6| |1| |8| |5
image_0090.png,How many letters are there?,7| |6| |3| |2| |5
image_0091.png,How many aqua items are there?,0| |3| |2| |8| |1
image_0092.png,How many small blue items are there?,5| |3| |8| |0| |2
image_0093.png,How many large black letters are there?,6| |4| |7| |5| |1
image_0094.png,How many small items are there?,8| |4| |6| |0| |5
image_0095.png,How many shapes are there?,3| |4| |7| |1| |2
image_0096.png,How many large letters are there?,3| |4| |6| |8| |5
image_0097.png,How many large magenta items are there?,9| |4| |8| |3| |1
image_0098.png,How many small items are there?,3| |2| |0| |1| |9
image_0099.png,How many large aqua digits are there?,9| |8| |1| |0| |4
