image_filename,text_description,button_texts
image_0052.png,How many large shapes are there?,2| |6| |8| |1| |4
image_0053.png,How many black items are there?,1| |7| |6| |2| |5
image_0054.png,How many yellow letters are there?,0| |1| |9| |5| |7
image_0055.png,How many large items are there?,8| |9| |2| |4| |3
image_0056.png,How many shapes are there?,3| |6| |4| |2| |7
image_0057.png,How many small triangles are there?,7| |1| |6| |3| |9
image_0058.png,How many small shapes are there?,9| |8| |6| |0| |1
image_0059.png,How many 9s are there?,6| |8| |1| |2| |5
image_0060.png,How many small items are there?,2| |4| |7| |3| |8
image_0061.png,How many black rs are there?,8| |2| |9| |1| |7
image_0062.png,How many magenta shapes are there?,4| |5| |2| |1| |8
image_0063.png,How many ks are there?,6| |0| |4| |1| |8
image_0064.png,How many large Vs are there?,8| |0| |3| |5| |4
image_0065.png,How many small items are there?,8| |5| |1| |9| |6
image_0066.png,How many aqua letters are there?,2| |7| |4| |1| |9
image_0067.png,How many Hs are there?,2| |5| |4| |0| |3
image_0068.png,How many magenta letters are there?,5| |8| |1| |3| |2
image_0069.png,How many large aqua items are there?,8| |7| |1| |4| |6
image_0070.png,How many red items are there?,1| |8| |7| |2| |9
image_0071.png,How many large items are there?,9| |7| |6| |4| |5
image_0072.png,How many green items are there?,6| |2| |3| |8| |1
image_0073.png,How many ms are there?,8| |7| |2| |1| |5
image_0074.png,How many digits are there?,7| |1| |8| |5| |4
image_0075.png,How many shapes are there?,2| |8| |5| |6| |0
image_0076.png,How many letters are there?,5| |4| |3| |2| |6
image_0077.png,How many large yellow triangles are there?,1| |7| |4| |3| |0
image_0078.png,How many small items are there?,2| |3| |6| |4| |7
image_0079.png,How many letters are there?,1| |8| |0| |5| |3
image_0080.png,How many small magenta triangles are there?,9| |2| |6| |0| |7
image_0081.png,How many large green letters are there?,5| |3| |9| |4| |1
image_0082.png,How many small black items are there?,2| |1| |5| |3| |6
image_0083.png,How many small items are there?,1| |2| |0| |6| |7
image_0084.png,How many small yellow items are there?,5| |7| |0| |8| |6
image_0085.png,How many large items are there?,8| |9| |3| |1| |4
image_0086.png,How many aqua rectangles are there?,1| |3| |2| |0| |7
image_0087.png,How many shapes are there?,4| |7| |3| |2| |0
image_0088.png,How many is are there?,2| |6| |5| |1| |8
image_0089.png,How many red items are there?,9| |1| |7| |3| |8
image_0090.png,How many circles are there?,2| |3| |0| |1| |8
image_0091.png,How many circles are there?,6| |4| |2| |8| |1
image_0092.png,How many 4s are there?,7| |3| |4| |5| |0
image_0093.png,How many small magenta circles are there?,4| |9| |0| |8| |2
image_0094.png,How many Bs are there?,7| |9| |8| |0| |1
image_0095.png,How many Qs are there?,5| |1| |2| |4| |9
image_0096.png,How many yellow bs are there?,6| |2| |4| |1| |7
image_0097.png,How many small letters are there?,1| |7| |2| |9| |3
image_0098.png,How many large red items are there?,2| |1| |6| |3| |5
image_0099.png,How many large magenta items are there?,8| |2| |5| |9| |0
